//rtl8814b version = 26
0x1d0c	0x00010000	
0x0800	0x00000000	
0x0804	0xd6300000	
0x0808	0x61016001	
0x080c	0x0ca70205	
0x0810	0x11b019b0	
0x0814	0x00904080	
0x0818	0x030006f1	
0x081c	0x00030000	
0x0820	0x11111111	
0x0824	0xcfc1ccc4	
0x0828	0x3003186c	
0x082c	0x1759a555	
0x0830	0x17511459	
0x0834	0x776995d7	
0x0838	0x74777a7d	
0x083c	0xf9aa9982	
0x0840	0x89aa9abb	
0x0844	0x0deeddc1	
0x0848	0xcdeedeff	
0x084c	0xffff5555	
0x0850	0x6f7a727d	
0x0854	0x6c776f7a	
0x0858	0x6f7a6c77	
0x085c	0x69746974	
0x0860	0x6f7a6c77	
0x0864	0x6c776c77	
0x0868	0x727d6f7a	
0x086c	0x69d7b197	
0x0870	0x2085a75e	
0x0874	0x5582391d	
0x0878	0x00c025bd	
0x087c	0x4140557d	
0x0880	0x7a1d9d47	
0x0884	0x1d675c6f	
0x0888	0x2857a857	
0x088c	0x520e8a44	
0x0890	0x8f628c44	
0x0894	0x72745f43	
0x0898	0x03f02f0d	
0x089c	0x5db6886f	
0x08a0	0x07d4309f	
0x08a4	0x0040d28a	
0x08a8	0x00000000	
0x08ac	0x00000000	
0x08b0	0x00000000	
0x08b4	0x00000000	
0x08b8	0x00000000	
0x08bc	0x00000000	
0x08c0	0x00400003	
0x08c4	0x00400000	
0x08c8	0x00000000	
0x08cc	0x00000000	
0x08d0	0x00000000	
0x08d4	0x00000000	
0x08d8	0x00000000	
0x08dc	0x00000000	
0x08e0	0x00000000	
0x08e4	0x00000000	
0x08e8	0x00000000	
0x08ec	0x00000000	
0x08f0	0x00000000	
0x08f4	0x00000000	
0x08f8	0x00000000	
0x08fc	0x00000000	
0x0900	0x00000000	
0x0904	0x00000000	
0x0908	0x3a0203ce	
0x090c	0x00000000	
0x0910	0x00000000	
0x0914	0x20000000	
0x0918	0x20000000	
0x091c	0x20000000	
0x0920	0x20000000	
0x0924	0x00000000	
0x0928	0x0000003a	
0x092c	0x0000003a	
0x0930	0x0000003a	
0x0934	0x0000003a	
0x0938	0x0000000f	
0x093c	0x00000000	
0x0940	0x4e1f3e81	
0x0944	0x4e1f3e81	
0x0948	0x4e1f3e81	
0x094c	0x4e1f3e81	
0x0950	0x03020100	
0x0954	0x07060504	
0x0958	0x0b0a0908	
0x095c	0x0f0e0d0c	
0x0960	0x13121110	
0x0964	0x17161514	
0x0968	0x03020100	
0x096c	0x07060504	
0x0970	0x0b0a0908	
0x0974	0x0f0e0d0c	
0x0978	0x13121110	
0x097c	0x17161514	
0x0980	0x03020100	
0x0984	0x07060504	
0x0988	0x0b0a0908	
0x098c	0x0f0e0d0c	
0x0990	0x13121110	
0x0994	0x17161514	
0x0998	0x03020100	
0x099c	0x07060504	
0x09a0	0x0b0a0908	
0x09a4	0x0f0e0d0c	
0x09a8	0x13121110	
0x09ac	0x17161514	
0x09b0	0x00002200	
0x09b4	0xdb6db600	
0x09b8	0x00400064	
0x09bc	0x00000000	
0x09c0	0x00000000	
0x09c4	0x00000000	
0x09c8	0x00000000	
0x09cc	0x00000000	
0x09d0	0x00000064	
0x09d4	0x00000000	
0x09d8	0x00000000	
0x09dc	0x00000000	
0x09e0	0x00000018	
0x09e4	0x00000018	
0x09e8	0x00000018	
0x09ec	0x00000018	
0x09f0	0x000000ff	
0x09f4	0x00000000	
0x09f8	0x00000000	
0x09fc	0x00000000	
0x0a00	0x02001208	
0x0a04	0x00000000	
0x0a08	0x00000000	
0x0a0c	0x00000000	
0x0a10	0x00000000	
0x0a14	0x00000000	
0x0a18	0x00000000	
0x0a1c	0x00000000	
0x0a20	0xeb31b333	
0x0a24	0x00275485	
0x0a28	0x00166366	
0x0a2c	0x00275485	
0x0a30	0x00166366	
0x0a34	0x00275485	
0x0a38	0x00200400	
0x0a3c	0x00200400	
0x0a40	0xb359c5bd	
0x0a44	0x3033bebd	
0x0a48	0x2a521254	
0x0a4c	0xa2733345	
0x0a50	0x617be003	
0x0a54	0x500089e8	
0x0a58	0x00038000	
0x0a5c	0x01000000	
0x0a60	0x02000000	
0x0a64	0x03000000	
0x0a68	0x00020000	
0x0a6c	0x00000000	
0x0a70	0x00000000	
0x0a74	0x00000000	
0x0a78	0x00000000	
0x0a7c	0x00000000	
0x0a80	0x00000000	
0x0a84	0x00000000	
0x0a88	0x00000000	
0x0a8c	0x00000000	
0x0a90	0x00000000	
0x0a94	0x00000000	
0x0a98	0x00000000	
0x0a9c	0x00000000	
0x0aa0	0x00000000	
0x0aa4	0x00000000	
0x0aa8	0x00000000	
0x0aac	0x00000000	
0x0ab0	0x00000000	
0x0ab4	0x00000000	
0x0ab8	0x00000000	
0x0abc	0x00000000	
0x0ac0	0x00000000	
0x0ac4	0x00000000	
0x0ac8	0x00000000	
0x0acc	0x00000000	
0x0ad0	0x00000000	
0x0ad4	0x00000000	
0x0ad8	0x00000000	
0x0adc	0x00000000	
0x0ae0	0x00000000	
0x0ae4	0x00000000	
0x0ae8	0x00000000	
0x0aec	0x00000000	
0x0af0	0x00000000	
0x0af4	0x00000000	
0x0af8	0x00000000	
0x0afc	0x00000000	
0x0b00	0x03900403	
0x0b04	0x0af99bfc	
0x0b08	0x000cfe49	
0x0b0c	0x0c30c30c	
0x0b10	0x0c30c30c	
0x0b14	0x0c30c30c	
0x0b18	0x0c30c30c	
0x0b1c	0x0000030c	
0x0b20	0x000013a7	
0x0b24	0x00000000	
0x0b28	0x00000000	
0x0b2c	0x00000000	
0x0b30	0x00000000	
0x0b34	0x00000000	
0x0b38	0x00000000	
0x0b3c	0x00000000	
0x0b40	0x00000000	
0x0b44	0x00000000	
0x0b48	0x00000000	
0x0b4c	0x00000000	
0x0b50	0x00000000	
0x0b54	0x00000000	
0x0b58	0x00000000	
0x0b5c	0x00000000	
0x0b60	0x00000000	
0x0b64	0x00000000	
0x0b68	0x00000000	
0x0b6c	0x00000000	
0x0b70	0x00000000	
0x0b74	0x00000000	
0x0b78	0x00000000	
0x0b7c	0x00000000	
0x0b80	0x00000000	
0x0b84	0x00000000	
0x0b88	0x00000000	
0x0b8c	0x00000000	
0x0b90	0x00000000	
0x0b94	0x00000000	
0x0b98	0x00000000	
0x0b9c	0x00000000	
0x0ba0	0x00000000	
0x0ba4	0x00000000	
0x0ba8	0x00000000	
0x0bac	0x00000000	
0x0bb0	0x00000000	
0x0bb4	0x00000000	
0x0bb8	0x00000000	
0x0bbc	0x00000000	
0x0bc0	0x00000000	
0x0bc4	0x00000000	
0x0bc8	0x00000000	
0x0bcc	0x00000000	
0x0bd0	0x00000000	
0x0bd4	0x00000000	
0x0bd8	0x00000000	
0x0bdc	0x00000000	
0x0be0	0x00000000	
0x0be4	0x00000000	
0x0be8	0x00000000	
0x0bec	0x00000000	
0x0bf0	0x00000000	
0x0bf4	0x00000000	
0x0bf8	0x00000000	
0x0bfc	0x00000000	
0x0c00	0x018ba0d6	
0x0c04	0x00000001	
0x0c08	0x00000000	
0x0c0c	0x02f1e8b7	
0x0c10	0x000000b0	
0x0c14	0x0000d890	
0x0c18	0x00087672	
0x0c1c	0x15260000	
0x0c20	0x00000000	
